"id","SrcDatabase","Title","Author","Organ","Source","Keyword","Summary","Year","Volume","Period","URL"
"sh0","期刊","中国女性初育后的长期就业轨迹 基于序列分析的探索","杨一纯; 於嘉; 谢宇","北京大学光华管理学院社会研究中心;普林斯顿大学社会学系;","社会","女性劳动参与;;生育;;生命历程;;社会变迁;;序列分析","女性初次生育后就业状态的转变是劳动力市场性别不平等的重要机制。以往研究大多将就业视为静态单一性事件，缺乏基于生命历程的长期动态视角。本文使用2014年中国健康与养老追踪调查（CHARLS）的生命史数据，采用序列分析技术，刻画出中国出生于1940—1978年的非农职业女性在初育前后共计21年的六类典型就业轨迹，女性的就业时期涵盖了建国初期、市场转型初期和转型成熟期三个重要的劳动力市场转型节点。结合社会变迁，本文进一步探讨了女性就业轨迹的世代转变和影响女性就业因素的变迁。结果显示，随着世代变迁，中国女性就业轨迹的复杂性和多样性明显增加，人力资本、制度庇护与照料责任的保护作用则显著削弱。本研究有助于加深学界对市场改革和劳动力市场性别不平等的认知。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.009"
"sh1","期刊","礼乐文明的构成：“文质论”社会理论初探","吴飞","北京大学哲学系;","社会","礼乐文明;;文质论;;社会理论;;政治哲学","相对于古希腊的城邦文明和现代西方的社会文明，传统中国形成了一种礼乐文明，其基本构成方式是“文质论”。质即自然，文即文明，文明是通过将内在于质的纹理文饰出来，所以，文明在根本上来自自然，不能超越、改变和破坏自然。礼学中的尚文尚质，在根本上都是一种文。“文质论”何以构成礼乐文明？本文分为礼仪和礼制两个层次讨论：礼仪是仪式层面的礼，其内在原理是以礼文来节文人情；礼制是社会政治层面的各种制度，其构成原理与礼仪相同。在这个层面，亲亲即质，尊尊即文。人类的群体生活并非文明的建构，而有其自然基础，即亲亲。由亲亲生出尊尊，就是在自然生生共同体中发现内在的尊尊秩序，把它文饰出来，并建立更大范围的文明共同体。在这个意义上，国家并不是必要的恶、社会契约或暴力机构，而是对生生共同体的文明转化。由于“文质论”和西方社会理论一样，并不把国家政治当做最高的文明制度，我们视之为一种社会理论，但它也与希腊政治哲学有共同之处，即来自自然，归于自然。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.006"
"sh2","期刊","统一而治殊：论顾炎武的“混合体制论”","曹正汉","浙江大学公共管理学院;","社会","封建;;郡县;;一统与治理的矛盾;;混合体制","顾炎武在《郡县论》中提出一种著名的改革理论，即在郡县制的框架内引入封建制的自治原则，形成“寓封建之意于郡县之中”的混合体制。对于这种混合体制论的意义，当代学者通常把它视为中央与地方关系的理论，或者视为地方分权论或“地方自治论”，认为其目的是在中央集权与地方分权之间实现平衡。本文的观点是，顾炎武的混合体制论不只是中央与地方关系的理论，也不只是地方分权论，还是处理“一统”与“治理”之关系的理论，特别是处理“一统”与“治理”之矛盾的理论，其中的核心思想可以概括为“统一而治殊”。本文的目的是论证这种观点，并进一步探讨“统一而治殊”的内在含义和思想来源及其实现机制和制度条件。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.002"
"sh3","期刊","“五服”与“三代”：从中国婚姻法禁婚范围的变迁看“性别”与“姓别”","赵晓力","清华大学法学院;","社会","宗亲;;外亲;;血亲;;中表婚","从清末变法开始，中国婚姻法的禁婚范围经历了一个从“五服”到“三代”的转变。中国传统社会自周代以后奉行“同宗不婚”的周礼，对中表婚则听民自便，法所不禁。1930年《中华民国民法典·亲属编》按照男女平等原则，将中国传统亲属分类——宗亲和外亲——改为西方式的血亲和姻亲，五服之外的宗亲和三代以内的中表亲能否结婚便成为问题。本文通过考察1950年《中华人民共和国婚姻法》婚姻自由原则与民间“同宗不婚”之礼的矛盾和1980年《中华人民共和国婚姻法》优生政策与婚姻自由原则在中表婚问题上的冲突，指出这些矛盾冲突的根源在于中西亲属分类凿枘不入，中国亲属分类是建立在社会性的“男女姓别”基础上，而不是生物性的“男女性别”基础上，传统社会“同宗不婚”和“中表为婚”是由于亲属制度重内轻外而非重男轻女造成的。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.008"
"sh4","期刊","为伤害“定价”：医疗损害纠纷中的通约实践","张龙","南开大学周恩来政府管理学院社会学系;","社会","医疗纠纷;;医疗损害赔偿;;赔偿金;;通约","对医疗损害赔偿的既有研究通常将重心放在赔偿制度或赔偿后果上，但是对确定赔偿金的微观社会过程，尤其是医疗损害纠纷中不同性质的损失和数量化的处理后果之间存在的张力，学界缺乏足够关注。基于笔者在中国北方某市三甲医院纠纷处理科室的田野调查，本文试图呈现不同渠道下医疗损害赔偿的完整“定价”过程。本文认为，医疗损害纠纷中的关键争议离不开通约，即将不同的属性转化为同一数量尺度的社会过程。研究发现，医疗损害纠纷中的通约实践通常在价值（价值的整合）、认知（信息的简化）和技术（测量的精准）三个维度展开，并且因不同渠道的制度化程度和不同属性的可通约程度而呈现不一样的展开形式。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.003"
"sh5","期刊","后物质主义价值观与中国居民的政治参与 基于世代差异的分析视角","池上新; 石耀东; 黄继朝","深圳大学政府管理学院社会学系;深圳大学社会科学学院;","社会","后物质主义价值观;;政治参与;;世代差异","基于世界价值观调查（WVS2018）的中国数据，本文从世代差异的分析视角考察了后物质主义价值观对中国居民政治参与的影响。研究发现，第一，当前中国居民的后物质主义价值观得分并不高，但呈现明显的世代差异，成长于改革开放之后的世代显著更高，并随着世代后移呈现递增趋势；第二，政治参与的世代效应在不同维度上有所差异，成长于改革开放之后的世代在制度外政治参与、网络政治参与上呈现世代递增趋势，在基层选举参与上则相反；第三，后物质主义价值观对基层选举参与的影响不显著，但对制度外政治参与、网络政治参与有促进作用，并且，对制度外政治参与的影响随着世代后移呈现递增趋势。研究证实，社会发展所带来的公众价值观的变迁，可以作为解释当代中国居民制度外政治参与和网络政治参与的文化变量之一，同时指出在价值观、公民有序政治参与引导上需要更加关注年轻世代。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.005"
"sh6","期刊","“稳定”的心理建构：乡村中老年教师集体身份认同与流动趋向的历史叙事","李彩虹; 朱志勇","清华大学公共管理学院;北京师范大学教育学部;","社会","乡村教师流动;;中老年教师;;集体身份认同;;单位制;;稳定","本研究以内蒙古东部的一所原国营农场小学作为个案，深入探析了快速城镇化进程中民族地区乡村中老年教师的流动趋向、特点及其原因，结合历史变迁和地区发展的视角“理解”其在多重情境中的人生抉择。研究发现，在管理体制改革、单位制变迁、教育管理体制变革的历史进程中，国营农场的中老年教师基于体制性身份、合法性身份、专业性身份的交叉建构，历时性地衍生出包含生存保障性认同、情感认同与依恋、专业效能感与自我认同三元要素的集体身份认同。该身份认同是单位成员基于紧密的社会共同体，因集体利益、集体意识、集体情感联结汇合而成的价值倾向与情感归属。最终，三元集体认同合力推进了中老年教师群体以“稳定”为内核的心理建构，解析了少有人关注的乡村中老年教师留守现象。在城镇化持续推进的当下，本研究对于促进乡村教师队伍建设具有一定的启示作用。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.001"
"sh7","期刊","比较历史社会学视野下的“列宁式政党” 列宁《怎么办？》新释","应星","清华大学社会学系;","社会","列宁式政党;;比较历史社会学;;《怎么办?》;;组织的武器","本文基于比较历史社会学和组织社会学的视角，在将俄国社会民主工党与俄国革命民粹派、第二国际社会民主党以及中国共产党进行相关比较的意义上，对列宁建党理论的经典著作《怎么办？》作了新的诠释。本文先分析了“灌输”机制在欧洲、俄国和中国的异同，而后重点解析了《怎么办？》第四章中三个核心的组织问题：通过对比韦伯对职业政治家的分析，阐释了列宁对职业革命家组织的重要性的理解；通过与中共白区工作的比较，突出了列宁提出把精干的组织核心与差序的组织圈层结合起来的意义；通过与俄国革命民粹派及第二国际的比较，展示了列宁关于政党组织的密谋性和集中性思想的渊源及其流变。本文的上述分析为“组织的武器”这一经典的论题赋予了新的理解。文章最后指出了中国社会学在单位和组织研究上从技术性分析走向追根溯源的政治性分析的意义。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.007"
"sh8","期刊","探寻组织研究的中国视角 第二十届“组织社会学实证研究工作坊”综述","虞锦美","上海大学社会学院;","社会",NA,"<正>2023年8月26—27日，由上海大学社会学院、《社会》编辑部、上海大学基层治理创新研究中心主办，多所大学协办的第二十届“组织社会学实证研究工作坊”（以下简称“工作坊”）在上海大学举行。来自国内外34所高校和科研院所的160余位资深教授、青年学者、学生参加了工作坊的学术研讨。","2023","43","05","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.05.004"
"sh10","期刊","何为“自由”：太虚佛教改革的中国化意涵","惠忆晨","清华大学社会学系;","社会","太虚;;社会转型;;佛教中国化","本文以近代著名僧人太虚在20世纪20至40年代的佛教改革和社会思想论说为对象，分析太虚是如何从佛教教理出发，因应当时的各种社会思潮，提出社会改革方案，并论述佛教同社会思潮以及社会转型之间的相互建构关系。本文一方面管窥佛教文明面对现代社会的创造性适应与转化何以可能，另一方面呈现一种积极入世的中国佛教面貌，使太虚的理念同韦伯比较宗教社会学中有关大乘佛教的现世心态和生活动力的论述展开隔空对话。最后，本文尝试从“方便”与“究竟”的范畴入手挖掘太虚社会理论的价值，也为佛教中国化提供新的理解视角。","2023","43","04","https://link.cnki.net/doi/10.15992/j.cnki.31-1123/c.2023.04.002"
