"id","SrcDatabase","Title","Author","Organ","Source","Keyword","Summary","Year","Volume","Period","URL"
"shxyj0","期刊","符号生产、关系嵌入与研报经营——券商分析师的行动及其社会嵌入性","陆益龙; 李光达","中国人民大学社会学理论与方法研究中心;中国人民大学社会与人口学院;","社会学研究","证券研报;;券商分析师;;符号生产;;关系嵌入;;金融化社会","在金融市场上，券商分析师角色特殊，他们收集、整理和分析上市公司信息，研判证券市场走势，制作研究报告，为投资者提供专业化投资建议和服务。由于研报使用价值减弱，分析师“做研报”演变为符号生产，“卖研报”嵌入券商与机构投资者、分析师和基金经理的社会关系网络。研报生产经营行动映射出金融与社会关系的结构变迁，表明金融化社会在悄悄兴起，金融嵌入与脱嵌问题再现了金融化社会形成的轨迹，也预示着金融化潜在风险及其根源。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r8d7EqSLxMD9tyEDxxyO_eZ951e3JJEhTEM6wj_OiTfNA_M_X4WW71TWxvt_kio8AUJiTXzwdnj8eHjj7eyeJ8aZgJf00A6j_6Wf7tduMWjVyNYlTl4jvs-LDy0Zf15_6ZZCaNTSUoM7Q==&uniplatform=NZKPT&language=CHS"
"shxyj1","期刊","数字时代金融诈骗组织的运作机制——基于非矿公司金融诈骗的网络民族志研究","艾云; 李祥; 向静林","中央财经大学社会与心理学院;上海大学社会学院;中国社会科学院社会学研究所;","社会学研究","数字时代;;金融诈骗;;网络级联;;平台管理;;交易离岸","本研究以网络民族志方法对非矿公司系列金融业务开展田野调查，构建“数字社会特征—组织运作机制—金融诈骗后果”的基本分析框架，详细呈现数字时代金融诈骗组织的运作机制。研究表明，数字时代社会的连通性、计算性和虚拟性等新特性塑造了新的社会互动方式，产生了网络级联机制、平台管理机制和交易离岸机制，带来了组织的规模扩散效应、控制集中效应、运作隐蔽效应，为有组织的金融诈骗提供了稳定的结构条件。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r8p5ggt8RB4OBHwg4POlVGb4SWau2sSw1iKLLhsJvG4jwapNFR-4gA8smsdkArXjHYlrRpr9M16U9HboAhpqIFA1aaJ5iZxxooSgkxrEbHSSSjUrkstGDRriqensybRlWvzVXnYSuVohw==&uniplatform=NZKPT&language=CHS"
"shxyj2","期刊","制度化的政商关系何以形成?——基于M市的历史性分析","叶志鹏; 李朔严","华东师范大学中国现代城市研究中心暨公共管理学院;上海大学社会学院;","社会学研究","政商关系;;制度化;;庇护主义;;普遍主义","探究制度化政商关系的形成机理，能够为中国构建“亲”“清”新型政商关系提供可行路径。本文通过对M市的历史性分析发现，地区政商关系由庇护主义转向制度化是特定产业组织形态、地方科层体系及其精神气质相互形塑的结果。基于利益与信任机制的产业链合作网络和利益联盟赋能商业团体组织化参与政商互动，并助推地方政府进行自我限权、增强政企间的制度联结。制度化政商关系有赖于地区增长联盟的维系和地方科层体系精神气质的革新。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-RB_i73cgwo0j8mcf0MIl2CpTU14mtcLDPPIPk1p8vc_iMSYC5ivSdDnQX2VwCk-hYHqSIlPy8BY6jJbjP9al-uyVNoZLd4TETYDU1xSL7dbmJHZJertjaQw6pHX1CSd3Qu2iD-BPZ_A==&uniplatform=NZKPT&language=CHS"
"shxyj3","期刊","改革初期单位制企业破产过程与机制研究——一个产权社会学的分析框架","王庆明","南开大学周恩来政府管理学院;","社会学研究","单位制;;企业破产;;产权变革;;产权社会学;;有选择的市场化","本文关注在市场机制和法律体系不健全、企业产权模糊的改革初期，单位制企业破产的具体过程及内在机理。研究发现，最初的企业破产是国家因负担过重，借助市场竞争话语“甩包袱”的结果，是有选择的市场化；当时市场既是一套公平竞争的法则理念，也是国家规避风险、推进改革的手段；破产后，“工人是企业主人”的主人翁话语是工人强调身份产权的依凭。转型中的政企关系、职企关系及其动态演化过程形塑了企业产权界定的独特逻辑。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-i1vuhhFdX9ZmAzpOwpVx6N02fnFx7fyXKcTrj8QZ6ILxFsNx7XDiHt0hzNrXRqScP8YESn95vyWGNxf00hv6IsZ1nljj-2nJDdacX9DpL1eCj1HrpPS6l5s_sSPBwmiFGA7YTLG-xEw==&uniplatform=NZKPT&language=CHS"
"shxyj4","期刊","“集体”新议：马克思公社思想的启示","潘璐","中国农业大学人文与发展学院;","社会学研究","马克思;;公社;;集体;;集体经济;;共同体","在农村集体经济研究中，社会学面临如何将“集体”概念化的挑战，马克思的公社思想为此提供了理论启示。马克思在古代社会史研究中确立了公社作为人类社会组织形态的历史普遍性，总结了氏族公社、家庭公社和农村公社的多元形态及其演变过程。马克思“公社”概念的核心是在历史实践中形成的社会联结和共同性，公社体现了个体与集体的融合统一。本文将马克思的公社思想与中国实践相结合，对当代中国的“集体”进行了概念阐释，为理解与指导农村集体经济发展提供了新的视角。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r94Lm8pIkSWiTDfpfHCJ0C8a_k5wEZkUpyc3LtpNxBRgzs9QuiTVqGPGv7msedj_VVh0yz5pc6cWWl8pEgvsrlFFZ-JICKPxDXJ_xE_OZfVqeiFQk_pz7jd8aSyptd9hwCSIq_swh5DhA==&uniplatform=NZKPT&language=CHS"
"shxyj5","期刊","就业技能与职业分化——农民工就业质量的差异及其社会后果","崔岩; 黄永亮","中国社会科学院社会学研究所;江苏省社会科学院;","社会学研究","农民工;;就业质量;;职业分化;;技能分化;;新职业","本文重点讨论我国经济社会转型背景下农民工就业质量高度异质性背后的影响因素。分析发现，农民工就业质量的高度分化可以从农民工劳动技能的结构性变化、行业间技能偏向型技术进步的差异化特征、新职业新业态所带来的职业高度分化等角度予以解释。在行业技术升级和新职业规模扩大的背景下，有效提高中低技能农民工的就业质量，对于促进我国在新阶段实现高质量发展和持续扩大中等收入群体具有重要意义。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-oGRX4HsdwJRjDtiy6jgaOj6cvZTtAXIBNJNFArhQhXo_2k19BhHm6nS8TlEAmOSGRhHM0y7MEG3Mq5MKtEEkIk4xDyVDSjN6SGeGoFongPL8Wj0hAWJV4QSNn4r8V2APXUxjmCgzaAQ==&uniplatform=NZKPT&language=CHS"
"shxyj6","期刊","空间秩序转变与“家”的扎根与脱根——一项流动摊贩进城案例的社会学研究","陈颀; 敖雅萱","华中科技大学社会学院暨中国乡村治理研究中心;","社会学研究","空间;;家;;正规化;;扎根;;脱根","非正规的空间资源为何能让农村流动群体实现家庭再生产，是一项有待研究的议题。本文通过流动摊贩进城案例的研究发现，草根秩序下的空间包容性是摊贩获得谋生地和扎根城市的前提。居住地邻近谋生地的空间安排有利于他们兼顾生计和家务，让成员聚居、代际合作，进而使下一代进城更具可能性。然而，空间秩序正规化的转变可能会封闭草根秩序下的包容性。一旦在谋生地遭遇驱逐，流动群体就难以延续原有空间安排的统合意义，他们在本地的城市化路径也可能由此中断。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-35vAfOJ81NBosWN3hLb4MbRuUPDdjz8xaWKkUKIQH-O_xJYAouOXwgctMXulkBdADmtL5t0HS3BusvuD3j2nofM4HDdy2oUna9zP_04HREQiNZcCp1v4TMQazFTaQgBpLJIGnDvDRVA==&uniplatform=NZKPT&language=CHS"
"shxyj7","期刊","如何助子成龙?——家庭教养方式对优质高等教育获得的作用","许丹红; 桂勇","上海师范大学哲学与法政学院;复旦大学社会发展与公共政策学院;","社会学研究","家庭教养方式;;精英高校;;文化流动;;文化再生产","选择什么样的家庭教养方式才能“助子成龙”?对这一问题的学术讨论可分为文化再生产与文化流动两种不同理论视角。本研究利用2017年中国大学生社会心态调查数据，在实证层面分析了家庭教养方式对子女获得优质高等教育的影响。研究结果显示：家庭教养方式既作为家庭社会经济地位的中间机制对子女获得优质高等教育发挥作用，同时也对子女获得优质高等教育具有独立的影响力；对比各种家庭教养方式，宽容型家庭教养方式更有助于子女进入精英高校。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r_E8bzGyrcZEwipyRnTKZEqVlF8yI-qf0AMVFmu_QSaEpbN3nvTJC_LhTwkVK_v67WSkFpvEL8PERzKrzDoiDvVkpPw6KLjSOTn27reiPd1xgRkq8ee2gmG_8jX22fG4q-3Ae_s1hqdqw==&uniplatform=NZKPT&language=CHS"
"shxyj8","期刊","中国成年人抑郁的社会分化：动态视角与交叉视角","秋丽雅; 李建新","北京大学社会学系;","社会学研究","抑郁;;年龄—时期—队列;;教育;;性别;;交叉","基于HAPC-CCREM模型，本文使用CFPS 2010—2020年数据，从动态视角和交叉视角分析了中国成年人抑郁的社会分化及其演变趋势。研究发现，成年人抑郁程度在教育、收入和性别上存在分化，且随着年龄增长和时期发展不断扩大，在出生队列上出现“奇异值”和复杂变动。成年人抑郁程度在教育和性别交叉结构上存在分化，教育对女性抑郁程度的改善更明显，但这种效应随着年龄增长逐渐减弱；从时期来看，抑郁程度的性别差异在各教育组人群中保持稳定；从出生队列来看，在20世纪80年代中期之后出生的人群中，各教育组人群抑郁程度的性别差异持续存在。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r9Lwz7fd2Mr2UydtfiEbCdrAxVtNDspJHRGKUkPm4qGhh4TLQPoTEpdpeApJJlV368GI_nUxJOVqZh3MOZTIvEz88gPhIrKHOcQN2s5du15WL8HrC0i-9zA2Cg4CjqsXPZkYNYb70NZGQ==&uniplatform=NZKPT&language=CHS"
"shxyj9","期刊","风险的二阶观察及其限制——卢曼风险社会学理论探析","吕付华","云南大学民族学与社会学学院;","社会学研究","卢曼;;风险;;系统理论","本文回顾了卢曼的风险研究，从集时间、事实、社会三维为一体的系统理论解析其风险图景：风险作为言说未来不确定性的时间语义，是社会诸系统随着现代性转型不得不在二阶观察下决策出现的；应从系统决策的内在归因来定义风险，以区别于外在环境归因的危险概念；受决策者/波及者的社会差异影响，一系统的风险可能是另一系统的危险；任何一个子系统都无力独自为风险负责，只有结构耦合与透明观察才能应对未知。对卢曼风险图景及其盲点的探究有助于风险反思。",2023,38,5,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-WhsZijiKlCwZnnJqRrX1_FleltQJq3IqyxufYRULjhxBJx-pQVrJpY1L19kQ9x7EiQ2Ezv8IE0RFzATjT3LvUfnROvVfqrW3fjQQ-ykerbS7mdDPb69Qzo_kYfrXD9NS-lkDJ9KghkA==&uniplatform=NZKPT&language=CHS"
"shxyj10","期刊","管理型中介：家政劳动力市场的中介控制研究","肖索未; 陈宗仕; 杨伊萌","北京师范大学社会学院;浙江大学社会学系;京东集团;","社会学研究","非正规就业;;管理型中介;;家政服务;;女性化劳动","通过对北京大型家政公司的案例研究，本文探讨了家政管理型中介的形成背景和运作机制。作为管理型中介，家政公司在与劳动者保持市场关系的基础上对其进行组织控制，通过“会员制”的制度设计、“制造匹配”的利益调节和“打造娘家”的情感整合三重机制建构自身在劳动力市场中的主导权，形塑市场结构，介入对劳动力供给和劳动过程的控制。家政行业的内在属性和外部环境构成管理型家政中介运作的重要背景。本文揭示了高度私人化、女性化的非正规就业劳动力市场的中介控制机制，深化了对非正规就业劳动力市场控制的学术探索。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r9LNescHjZLZfGZ4zqRsZ-K3PlrJ6fbYl8crykji5HaOXhudkRs-ALwA7QUreGstqICaFYfaSqTnlbGB55qskTZk1szcFCcEvvHFP9PMwni2U3yyFGMCHQNOfYNqZhjBySNfsqcNi1ifA==&uniplatform=NZKPT&language=CHS"
"shxyj11","期刊","关系工作与价值生产：酒吧营销的劳动过程分析","黄燕华; 刘子曦","中国社会科学院社会学研究所;厦门大学社会与人类学院;","社会学研究","消费社会;;酒吧休闲娱乐;;酒吧营销;;关系工作","本文通过对酒吧业的考察指出，在产品非物质化的消费新语境中，关系工作成为服务于消费的关键生产环节。面对关系的开放性和复杂性，酒吧营销需自主重塑自我与生活，形成性别化的关系工作脚本，在日常生活中发展和维系与消费者的人际关系，形成自己的关系圈层。通过团队管理和场所设置，酒吧经营者使不同的关系圈层相互依存，将其组织为“娱乐性的两性互动”和“差异化的同性圈层”交错的社交消费场景。营销在日常生活中的自主性是其劳动价值源泉，却也带来了更深刻的异化体验。不仅如此，营销个体的关系工作需在酒吧组织的互动场景中才能实现价值转化，酒吧则通过将控制重点转移至消费过程而实现利益最大化。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-bmnmh1HALLc7S95jKuMBJ14VH4Htfntpk6cyjMQjwriBKsJaCLSxzFgiVSH8FX4E5sucZOhu6rTfWx7rSuAtlJli3wbctYv5NSv16L_KbxXRIkavgEmxf_hALPMUbYE0nniYGnP8HIg==&uniplatform=NZKPT&language=CHS"
"shxyj12","期刊","财富积累与共同富裕：中国居民财产积累机制(2002—2018)","李实; 詹鹏; 陶彦君","浙江大学共享与发展研究院;浙江大学智慧绿洲创新中心共同富裕研究中心;浙江大学经济学院;","社会学研究","居民财产;;积累机制;;储蓄;;房价上涨","本文基于财富积累基本模型分析框架，利用中国家庭收入调查数据(CHIP)对21世纪以来中国居民财产积累机制进行解释。研究发现，居民人均净财产在2002—2013年的年均增长率达14.1%,而在2013—2018年下降至9.9%,但仍快于同期居民收入增加率。居民财产积累的第一大来源是房价上涨，可以解释居民净财产增量的55%～85%;第二大来源是居民储蓄，可以解释居民财产增量的30%～40%;部分财产会因折旧而减值。本文的研究结论有助于为下一步规范财产积累机制提供理论支撑。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-3ni16CS-WFooJAV8ixI3CAXTbEEZwgaWom4OqCnw-TOO0V8jXiTePdwXkwRwy6RI-WRosEb2zW7m54WWoZ8cuhXreZvP7AdOdffyXVu62Mc7_8okRDZbcj7cz1ot7ZWASUzCYmRT5XA==&uniplatform=NZKPT&language=CHS"
"shxyj13","期刊","共同富裕背景下中国公众主观地位认同研究","张文宏; 刘飞; 项军","南开大学周恩来政府管理学院;上海大学社会学院;","社会学研究","新社会比较理论;;比较方向;;比较效应;;比较半径;;地位认同","公众主观地位认同的提升是共同富裕不断推进的重要体现。与以往强调相对剥夺地位的影响不同，本文将社会比较的方向、效应和半径整合为“新社会比较理论”,探讨了向上比较与向下比较效应因比较半径的不同而变化的趋势。研究发现，个体经济地位的向上比较与向下比较对地位认同都具有显著影响，其中向上比较的负效应强于向下比较的正效应；双向比较的对比效应随地理范围的扩大而增强。这些发现揭示了抑制收入差距扩大对于改善民众低位认同及提升获得感的重要意义。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-PBccIeGCQojeMHeDj84m7wZ7_ugYBxciMkklbQTiPLQ5rTKgX8fjYkwe0aagQwKpvY8Rw9juMbUxpasxcD-wGied9cfL9XTJCvmOdSRLU6YUxorSC4sqLNs6fYAn4R-os816dpfrW7w==&uniplatform=NZKPT&language=CHS"
"shxyj14","期刊","学校何以层级化?——一个城区学校变动的案例研究","沈洪成","河海大学社会学系;","社会学研究","新城区建设;;教育资源配置;;课程知识体制;;层级化","本文以新城区建设中的学校变动为案例，探究学校层级化的机制。“高位均衡”是大城市的教育发展目标，但又要面对打工群体、工薪群体和中产群体分割教育资源的问题。从教育资源配置上看，大城市居住格局分化，学校生源层级化，不同家庭的教育选择强化生源的同质性。从课程知识体制上看，中国基础教育以学业绩效为中心建构起来，课程和评估相对统一，而教学趋于分化。资源配置与知识体制相互强化，导致学校层级化。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r-Rw3WhhyNmbgLflg_E49wUxTQx3wJSEdC25ZGZGpPkZW4_cFyHZsuHRe0guim9KdPPhnpXomXuUCgVOUE2EHG2V2TZwGBZULUuxF2vgw6Z-kfDqRs_93iudg_vwaG-UeM1LKYwM96pnA==&uniplatform=NZKPT&language=CHS"
"shxyj15","期刊","作为方法的乡土——以费孝通著述为中心","陈占江","浙江师范大学社会工作系;","社会学研究","乡土;;方法;;西方;;中国;;内在视野","在费孝通著述中，“乡土”既是作为对象的显性存在，亦是作为方法的隐性存在。前者饱受关注，而后者尚待阐发。本文认为，作为方法的乡土包括两个层面：一是在规范层面，以乡土所孕育的中国文明为价值基准由内而外地想象和擘画世界理想图景；二是在经验层面，以村落、街集和乡镇所构成的乡土为经验基地自下而上地观察和理解中国现实图景。由内向外和自下而上相互交织，共同构成理解中国的内在视野。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r95i93-q0kbBe9Efs4iYMJ9LnwkVXK-jXXpqhZ7rvfc2w4nN4b1R4Vbh7AuIJlhWDX3_1Eil11QlFuZb5E_apwH75X3Jz0IJJJsTSAD0UtWZ2ZkJ2SwwdI_DWVa2webqGG7uuTclU0M2g==&uniplatform=NZKPT&language=CHS"
"shxyj16","期刊","社会空间：从齐美尔到戈夫曼","刘思达","香港大学法律学院;","社会学研究","社会空间;;芝加哥学派;;齐美尔;;帕克;;戈夫曼","本文从齐美尔、帕克、戈夫曼三位社会学家笔下的社会空间入手，对芝加哥学派的理论传统中关于社会空间的经典论述进行分析和梳理。对于齐美尔和芝加哥学派而言，社会空间的存在基础是行为主体之间的社会互动，而社会实体和结构都是从这些互动过程中产生的。这个理论传统强调物理空间与社会空间的相互依赖性，对于社会空间的假设具有内生性、时间性两个重要特征，并注重空间与人类情感的关联。",2023,38,4,"https://kns.cnki.net/kcms2/article/abstract?v=3IEynGI71r8VvCsUQeQ3jZDhXd466sUzG7Tpxv9fTgz0vROQkl6jmBgMby2z2HvwA8s8G47GKgBXUoFyg3oDhu8hmuSPwIqDBIQc62reIhhWev6lOavN2AJV0qJe1sx71Ab_GJniD79Y-edMJ0AGMg==&uniplatform=NZKPT&language=CHS"
