SrcDatabase,Title,Author,Organ,Source,Keyword,Summary,Year,Volume,Period
期刊,打造“渴望”:经纪人的工作自主性与劳动控制——以上海JH家政公司为例,苏熠慧; 施瑶,上海财经大学人文学院;,社会学研究,渴望的制度化改造;;现实型渴望;;理想型渴望;;劳动控制,"通过对上海JH家政公司的考察，本文提出“渴望的制度化改造”,分析家政公司如何通过提成制、体验制和表彰制将家政经纪人以赚钱养家、小富即安和小城镇女性身份为基础的“现实型渴望”改造成以年薪百万、大城市中产生活和家政白领身份认同为核心的“理想型渴望”,从而实现劳动控制的过程。在此过程中，经纪人忍受当下劳动的辛苦，积极工作，并形成一套文化解释来合理化现实和理想的差距，实现自我剥削。",2023,38,06
期刊,乡村振兴与中国式现代化：内生动力和路径选择,李培林,中国社会科学院大学社会与民族学院;,社会学研究,乡村振兴;;现代化;;内生动力;;乡村发展趋势,改革开放以来，在经济体制改革和社会结构变迁的背景下，我国乡村通过实行家庭联产承包责任制、发展乡镇企业、农民工进城务工经商、农业规模化经营、城乡融合发展等不同路径，发展的内生动力得到极大解放和提升。本文分析了这种内生动力及其生成条件的变化，也揭示了内生动力不足问题日益凸显的态势。中国式现代化的乡村振兴进入新阶段，在继续下大力气培育内生动力的同时，也要为乡村振兴提供更多反哺和外力支持，通过城乡融合和一体化发展，从根本上改变城乡二元结构和治理体制。,2023,38,06
期刊,宏观供给、社会经济地位与居民消费——基于全国调查数据的实证分析,朱迪; 龚顺,中国社会科学院社会学研究所;,社会学研究,消费社会学;;扩大消费;;物质供给;;宏观结构;;社会经济地位,扩大消费、推进高质量消费是实现中国式现代化的重要途径。传统经济学和社会学研究强调消费者和消费侧因素，本文引入供给侧视角建构理论框架，从消费侧和供给侧全面系统考察消费行为的结构性约束。本文基于2021年中国社会状况综合调查(CSS)数据和区县层面的统计数据分析发现，个体层面的社会经济地位与宏观层面的物质供给均对居民消费具有显著影响；处于较高职业阶层、生活在较高城市化率或者有高铁地区的居民消费支出较高；宏观层面物质供给的提升可显著促进社会经济地位较高居民释放消费潜力。本研究为宏观供给如何影响消费提供了实证支持，并对如何扩大居民消费提供了新的政策思路。,2023,38,06
期刊,任务型组织的科层化——以A市城镇化过程中的组织变迁为例,管兵; 罗俊,华南理工大学公共管理学院;华南理工大学国家治理研究中心;,社会学研究,科层制;;任务属性;;激励;;城市更新;;城中村,任务型组织因特定任务而生，具有临时性和易变性。本文关注的核心问题即什么因素导致了任务过程中组织形式的选择与变迁。本文采用个案研究的方法，考察了A市在长达20年的任务周期里推进城镇化任务所采取的传统科层制、任务型组织和任务型组织科层化三种组织形式。本文以任务为解释视角，具体界定任务的纵向属性、横向属性和动态属性，以任务属性的组合变迁解释组织变迁。本文认为，任务型组织是政府针对任务激励、任务复杂性和新任务的组织回应，这是中国改革开放以来科层制演变的一种现实途径。,2023,38,06
期刊,算法科层制的兴起及其形态,吴进进; 何包钢,深圳大学政府管理学院;澳洲迪肯大学人文与社会科学学院;,社会学研究,算法科层制;;人工智能;;自动化;;预测分析,在数字时代，随着大数据和人工智能技术在公共决策和公共服务中的广泛应用，算法科层制这一政府管理体制变革正在中国悄然发生。本文在已有研究基础上构建了一个算法科层制的理论分析框架，基于算法功能和算法应用体制两个关键因素，发展了四种算法科层制形态：部门自动化算法科层、部门预测型算法科层、跨部门自动化算法科层和跨部门预测型算法科层。本文通过四个人工智能算法应用案例，实证探究人工智能算法对科层组织权力关系与激励方式、知识信息处理、组织形态以及服务供给模式的影响及其路径，揭示了四种算法科层制形态的差异性及形成机制。,2023,38,06
期刊,不完全考核：模糊与精细混合的政府考核分析,练宏; 陈纯,中山大学中国公共管理研究中心;中山大学政治与公共事务管理学院;,社会学研究,不完全考核;;量化管理;;混合考核;;政府行为,本文通过田野观察一个税务部门连续三年的考核过程，揭示了考核的复杂运作图景，即受制于政府科层组织的独特制度环境，考核难以完全按照泰勒科学管理的思路来进行精细化考核，而是呈现出模糊与精细并存的混合考核实践。其中，精细化考核只是初步实现了考核目的，之后组织通过模糊运作获得权威控制，缓解了精细化考核的事本主义，具有“模糊的精确性”功能。本研究有助于重新解释考核中的偏差行为、审视单向度的科学管理和呼应国家当前对唯指标论和优绩主义的反思。,2023,38,06
期刊,地方规划权的建构与评估——基于双重差分与动态QCA的实证研究,王红帅,清华大学公共管理学院;清华大学中国发展规划研究院;,社会学研究,五年规划;;规划有效性;;规划权;;规划自主性;;规划评估,本文考察了地方规划权中规划自主性之于绩效改进的宏观因果效应。鉴于既有研究对规划有效性的认知缺乏理据实证，本研究以2006—2015年两期规划数据为基础，运用双重差分与引入时间因素的多时段QCA和TSQCA方法，系统检验了自主增设公共服务类规划指标的实际效果。研究发现，自主设定规划指标能够对中长期绩效改进产生积极作用，且越到规划后期，指标的约束力越强；虽然从短期看规划不必然带来绩效改进，但如果缺乏长期规划，绩效改进将“事倍功半”。本文对规划权进行了初步的建构与评估，对国家治理的规划逻辑进行了讨论。,2023,38,06
期刊,社会学视野中的政府研究：学术议题与学科传承,陈家建,南京大学社会学院;,社会学研究,社会学视野;;政府研究;;学科传承,近年来，社会学开展了大量的政府研究，在经验与理论两方面都有明显的学术推进，但社会学开展政府研究的特点与贡献并没有被学界清晰地意识到。本文回顾了中国社会学界较有影响力的政府研究，从组织结构、人员网络、财政过程、组织技术、组织机制五个方面梳理其学术脉络。社会学开展政府研究具有鲜明的风格及独特贡献，体现于综合性分析、社会性分析、情境性分析三个维度。社会学开展政府研究是在传承经典时期的学术思想，同时也在延续中国社会学的学科探索历程。,2023,38,06
期刊,择偶偏好中的性别差异和社会阶层异质性——基于选择实验法的探索,周扬; 於嘉; 谢宇,中央财经大学社会与心理学院;北京大学光华管理学院社会研究中心;普林斯顿大学社会学系;,社会学研究,择偶偏好;;选择实验;;性别差异;;阶层异质性,本文采用选择实验法测量人们在教育、收入、房产、家庭背景、年龄和长相六个维度上的择偶偏好，估计各维度在人们择偶时的相对效用。研究发现，择偶偏好呈现显著的性别差异，在六个维度中男性对配偶的长相更加看重，女性则更看重体现社会经济地位的教育和收入。阶层异质性分析发现，教育程度和城乡户口状态不同的男性群体间在择偶偏好上存在显著差异；城乡户口状态不同的女性的择偶偏好并无差异，低教育程度女性未在教育这一维度上表现出向上婚的择偶偏好。这些研究发现有助于深入理解当前中国的婚姻匹配模式及其对社会分层与流动的影响。,2023,38,06
期刊,社会学实验：人文区位学中国化的演进,岳永逸; 熊诗维,中国人民大学社会与人口学院;,社会学研究,人文区位学;;村镇社区;;社会学实验室;;中国化;;赵承信,20世纪30年代初，发展中的人文区位学被引入中国。在燕京大学社会学同仁的努力下，人文区位学与功能人类学有机结合，带有本土性学科意识的社区研究崭露头角。在此历程中，赵承信是重要的引介者、推动者。他立足于人文区位学的美国发展脉络诠释其概念、范畴和成果。同时，包括术语翻译在内，人文区位学的中国化也始终伴随着甄别、批判与反思。基于已有研究，赵承信创造性地提出“村镇社区”模型，随即主导了重方法实验的平郊村这个“社会学实验室”将近十年。这些努力不仅丰富了早期中国社会学的形态与内涵，也提升了其与海外学术对话的能力。,2023,38,06
期刊,高福利制度下的“懒人现象”,刘保中; 李春玲,中国社会科学院社会学研究所;,人民论坛,高福利;;福利国家;;懒人现象;;效率,"公平与效率是社会福利政策领域长期争论不休的话题。欧洲高福利制度在历史上曾起到了促进社会公平、稳定社会秩序的作用,也带来了一系列消极影响。这一制度催生了不想工作的福利懒汉,破坏了市场配置资源的效率,拖累经济发展,福利体制改革势在必行。",2018,,14
